Course Title	Rating	Level	Schedule	What you will learn	Skill gain	Modules	Instructor	Offered By	Department	Course Url	Duration to complete (Approx.)	Keywords	Number of Review
Leadership Skills	4.8	Beginner level	Flexible schedule	Acquire an understanding of oneself and build inner stability. Describe various leadership styles and how to lead downwards. Explain the biases that impact communication and a leader’s decision-making capability. Explore the art of leading upward and sideways.	Mindfulness, Leading and managing change in organisation, Leading subordinates effectively, Positive Personality, Supportive communication	Leading the Self: Mindfulness, Inner Stability, and Positive Strengths, Leading Downward: Leader Behaviors and Leadership Styles, Building Sustainable Relationships: Supportive Communication and Decision-making Biases , Power, Politics, and Leading Upwards , Ethics, Culture, and Change Management, Leadership and Ancient Indian Wisdom: Lessons from the Mahabharata , Peer Review Assignment	Vishal Gupta	IIMA - IIM Ahmedabad	Business	https://www.coursera.org/learn/leadershipskills	46.0	Management & Leadership	1025.0
Fundamentals of Business Analysis 	4.5	Beginner level	Flexible schedule	Define and prioritize business analysis tasks within a project scope.  Develop comprehensive plans for conducting business analysis activities.  Identify key stakeholders and establish effective collaboration strategies with them. Collect and document various types of requirements to support project objectives.  	Business Analysis, Business Analysis Methodology, Requirements Analysis, Stakeholder Identification, Solution Delivery	Fundamentals of Business Analysis 	Igor Arkhipov	Starweaver	Business	https://www.coursera.org/learn/fundamentals-of-business-analysis	6.0	Business	32.0
Digital Business Strategy	4.7	Beginner level	Flexible schedule	How to assess an organization's digital transformation readiness by analyzing trends, evaluating competitors, and examining unique capabilities. How to identify an organization’s position in the competitive lifecycle and anticipate future industry trends to inform strategic decisions. How to envision an organization’s desired digital position while ensuring alignment with market trends and organizational strengths. How to generate value-creating offerings, develop the necessary capabilities to execute their digital strategy, and secure sustained value.	Digital Strategy, strategy, Business Strategy, Digital transformation	Rise of the Digital Age, Platforms in the Digital Age, Competing in the Digital Age, Appropriating in the Digital Age	Michael Lenox	University of Virginia	Business	https://www.coursera.org/learn/uva-darden-digital-business-strategy	5.0	Business,Operation & Strategy	28.0
Build your business brand using Canva	4.2	Beginner level	Hands-on learning	Find out why it's important to build a brand and learn how you can do it using Canva. Create your logo and learn how to reach the right audience.	Social Media Marketing, Social Media, Canva, Social Media Platforms, Graphic Design	Learn step-by-step	Monica I. Heredia Rodriguez	Coursera Project Network	Business	https://www.coursera.org/projects/build-your-business-brand-using-canva	2.0	Branding,Business	20.0
New Models of Business in Society	4.7	Not specified	Flexible schedule	New models of how to run an effective business that makes the world a better place. Corporate responsibility, philanthropy, and building sustainable value. Creating value for stakeholders through conscious capitalism and stakeholder theory. How to develop a business idea that makes money and makes the world a better place.	Environmental Economics, Business Model, Stakeholder Theory, Management, Entrepreneurship	Business in Society: The Problem, Corporate Philanthropy and Corporate Social Responsibility, Creating Value for Stakeholders, Becoming a Stakeholder Entrepreneur	R. Edward Freeman  	University of Virginia	Business	https://www.coursera.org/learn/uva-darden-business-society	5.0	Management & Leadership,Business	3969.0
Intuit Academy Bookkeeping Professional Certificate	4.6	Beginner level	Flexible schedule	Build a foundation of basic bookkeeping concepts and accounting measurement. Learn how to work through the various phases of the accounting cycle to produce key financial statements. Practice interpreting and analyzing financial statements to make key business decisions.	Double-Entry Bookkeeping System, Bookkeeping, Bank Reconciliations, Accounting Concepts and Measurement	Bookkeeping Basics, Assets in Accounting, Liabilities and Equity in Accounting, Financial Statement Analysis	Intuit Academy Team	Intuit	Business	https://www.coursera.org/professional-certificates/intuit-bookkeeping	80.0	Accounting & Finance	4985.0
Improve Business Performance with Google Forms	4.7	Intermediate level	Hands-on learning	Create a Google Form, as well as add and edit questions in the survey. Send your form to recipients, and temporarily pause or stop collecting responses when the need arises. Analyze responses in Google Forms.	Graphs, Google Forms, Survey, Customer Satisfaction, Analyze	Learn step-by-step	Melissa Al-Shaer	Coursera Project Network	Business	https://www.coursera.org/projects/improve-business-performance-with-google-forms	1.0	Business,Technology	547.0
Business Operations Support in Google Sheets	4.7	Intermediate level	Hands-on learning	Create a form within Google Sheets. Write formulas to track organizational requirements. Summarize the data in order to make day-to-day organizational decisions.	Data Analysis, Business Operations, Google Sheets	Learn step-by-step	Melissa Al-Shaer	Coursera Project Network	Business	https://www.coursera.org/projects/business-operations-support-in-google-sheets	1.0	Business,Operation & Strategy,Technology	190.0
Digital Business Specialization	4.5	Beginner level	Flexible schedule	You will learn concepts and mechanisms impacting the digital economy and society at large. You will develop analytical and business skills.	understand the contexts and ecosystems of digital business, choose a KPI, apply the principles of growth hacking, analyze a digital business process, define and formulate a strategic shift	Digital Business - Understand the digital world, Digital business - Act on the digital world, Digital business - Grow on digital world, Digital Business - Capstone project	Laurent Gille, Thomas Houy, Valérie Fernandez	Institut Mines-Télécom, École Polytechnique	Business	https://www.coursera.org/specializations/digital-business	40.0	Business,Technology	46.0
Business Intelligence (BI) Essentials	0.0	Beginner level	Flexible schedule	Explain the concept of business intelligence (BI), the key components and challenges involved, and the career options in this field. Describe data analytics and its significance in BI, recognizing its role in extracting insights from data. Evaluate different business intelligence tools and technologies used to analyze the business context and requirements of a BI project. Develop actionable insights using appropriate tools and techniques for data gathering, wrangling, analyzing, mining, visualizing, and reporting.	Data Wrangling, Data Analysis, Data Warehousing, Data Visualization, Data Mining	Introduction to Business Intelligence (BI), The Data Ecosystem, BI Analytics Landscape, Gathering and Wrangling Data, Mining and Visualizing Data and Communicating Results , Applying BI Techniques and Final Project 	Rav Ahuja	IBM	Business	https://www.coursera.org/learn/business-intelligence-essentials	14.0	Data Analytics	0.0
Create a Business proposal with Visme for businesses	0.0	Beginner level	Hands-on learning	You will have all the basic skills to create a Business proposal using Visme. You will be able to design a professional Business proposal in which you describe your company and your offer in detail.	Business Plan, Business Writing, Business Strategy, Entrepreneurship, visme	Learn step-by-step	Sara Nefzaoui	Coursera Project Network	Business	https://www.coursera.org/projects/create-a-business-proposal-with-visme-for-businesses	2.0	Business	0.0
 Build a social media presence for your business using Canva	4.7	Beginner level	Hands-on learning	Learn how to built your social media presence for your small business. Establish your audience and learn how you can reach them.	Social Media Marketing, Social Media, Canva, Social Media Platforms, Graphic Design	Learn step-by-step	Monica I. Heredia Rodriguez	Coursera Project Network	Business	https://www.coursera.org/projects/build-a-social-media-presence-for-your-business-using-canva	2.0	Social Media,Design	20.0
The Science of Success: What Researchers Know that You Should Know	4.8	Beginner level	Flexible schedule	Understand how to get better results at work and school. Achieve personal career success. Practice enjoying a meaningful, happy, and healthy life.	Personal Branding, Planning, Social Capital, Self-Motivation	Introduction to the Science of Success: What Researchers Know that You Should Know, The Power of Beliefs , The Power of Expertise , The Power of Self-Motivation , The Power of Relationships , The Power of a Plan: Creating Your Action Plan, Your Personalized Action Plan	Paula Caproni	University of Michigan	Business	https://www.coursera.org/learn/success	11.0	Personal Development	2705.0
HRCI Human Resource Associate Professional Certificate	4.8	Beginner level	Flexible schedule	Explain the requirements and techniques to recruit and retain talent for an organization. Understand how performance management and feedback impact employee relations in an organization. Evaluate the various benefits of total remuneration and technology for an organization.	Employee Relations, Training development, Performance Management, Recruitment, Compliance strategy	Talent Acquisition, Learning and Development, Compensation and Benefits, Employee Relations, Compliance and Risk Management	Rhea Bautista, Rachel Landers, Brad Boyson, Michelle Alvarado	HRCI	Business	https://www.coursera.org/professional-certificates/hrci-human-resource-associate	120.0	Human Resources	518.0
Microsoft 365 Fundamentals Specialization	4.7	Beginner level	Flexible schedule	You will learn how to work more collaboratively and more effectively using a suite of productivity-enhancing applications.	Create and edit a workbook with multiple sheets. Create and manage presentations. Describe the apps and services available in a Microsoft 365 subscription. Represent data visually. Create and maintain professional looking documents.	Work Smarter with Microsoft Word, Work Smarter with Microsoft Excel, Work Smarter with Microsoft PowerPoint	 Microsoft	Microsoft	Business	https://www.coursera.org/specializations/microsoft-365-fundamentals	80.0	Microsoft Tools	2122.0
Global Procurement and Sourcing Specialization	4.7	Beginner level	Flexible schedule	Why Procurement is important to the firm and it works within the firm. How to select and evaluate suppliersLearn how to analyze supply markets. Improve your negotiation skills and thereby improve your outcomes.	Negotiation, Contracts	Procurement & Sourcing Introduction, Procurement Basics, Strategic Sourcing, Supplier Management, Supply Market Analysis, Procurement Negotiation, Strategic Procurement and Sourcing Conclusions	Don Klock 	Rutgers the State University of New Jersey	Business	https://www.coursera.org/specializations/procurement-sourcing	40.0	Human Resources,International Relations,Operation & Strategy	1548.0
Introduction to Finance and Accounting Specialization	4.4	Beginner level	Flexible schedule	Discounting and compounding arbitrary cash flow streams in order to value different claims and make better financial decisions. Difference between NPV and Internal Rate of Return (IRR). Classification of cash flows into operating, investing, and financing activities. How companies account for investments in debt and equity securities.	Financial Accounting, Accounting, Decision-Making, Corporate Finance, Financial Statement	Fundamentals of Finance, Introduction to Corporate Finance, Introduction to Financial Accounting, More Introduction to Financial Accounting	Brian J Bushee, Jessica Wachter, Michael R Roberts	University of Pennsylvania	Business	https://www.coursera.org/specializations/finance-accounting	40.0	Accounting & Finance	2016.0
High-Impact Business Writing	4.5	Beginner level	Flexible schedule	Write effective presentations, emails, writing for visual communication. Edit and proofread business documents. Create business reports and press releases. Spot, correct and avoid the most common writing pitfalls.	Email Writing, Proofreading, Communication, Business Writing, Writing	Business Writing, Channels and Message Formats , Spelling, Grammar, Sentence and Paragraphs, Strategies and Techniques for Common Message Types , Writing Reports, Virtual Communications, and Finalizing Your Work	Sue Robins, M.S. Ed.	University of California, Irvine	Business	https://www.coursera.org/learn/business-writing	6.0	Business,Soft Skills	3711.0
Foundations of Digital Marketing and E-commerce	4.8	Beginner level	Flexible schedule	Define the fields of digital marketing and e-commerce. Describe the job responsibilities of an entry-level digital marketer and e-commerce specialist. Explain the concept of a marketing funnel. Understand the elements and goals of a digital marketing and e-commerce strategy.	E-Commerce, Customer loyalty, Customer Outreach, Marketing, Marketing Analytics	Introduction to foundations of digital marketing and e-commerce, The customer journey and the marketing funnel, Digital marketing and e-commerce strategy, Measure performance success	Google Career Certificates	Google	Business	https://www.coursera.org/learn/foundations-of-digital-marketing-and-e-commerce	25.0	Ecommerce,Marketing	17077.0
Create a Project Management Tracker using Microsoft Excel	4.6	Beginner level	Hands-on learning	Create a new workbook in Microsoft Excel and share the document with others. Design and organize the project management tracker using formatting tools in Microsoft Excel. Add content to the project tracking spreadsheet with dropdown lists and conditional formatting.	Project Management, Spreadsheet, Project Planning	Learn step-by-step	Paula Del Rey	Coursera Project Network	Business	https://www.coursera.org/projects/create-project-management-tracker-microsoft-excel	2.0	Microsoft Tools,Product/Project Management	552.0
SAP Technology Consultant  Professional Certificate	4.7	Beginner level	Flexible schedule	Learn key consulting skills most requested by SAP partners worldwide. Understand the global SAP business solutions, products and ecosystem. Gain skills across the whole lifecycle of an SAP implementation and enhance your CV/Resume with practical examples.  Explore planning and project management methodologies such as Waterfall, Agile, DevOps, and Cloud.  	Solution design and implementation, Understanding the SAP world and solutions, Business and process analysis, Client engagement and communication, How to launch and develop your SAP career	SAP Professional Fundamentals, Understanding the Enterprise Systems Environment, SAP Customer Engagement and Discovery, Designing an SAP Solution, Implementing an SAP Solution, SAP Technology Consultant Hands-on Project, Becoming an SAP Professional	Martin Gollogly, Dr Omar Sharaf, Leslie Reynolds, Miguel Alcobia	SAP	Business	https://www.coursera.org/professional-certificates/sap-technology-consultant	84.0	Technology,Agile & Scrum,Business	480.0
Building Your Freelancing Career Specialization	4.9	Beginner level	Flexible schedule	How to increase your success in a new business venture through overcoming your fears of failure, avoiding perfectionism, and staying motivated. How to find and win clients by standing out in a sea of competitors. How to package, price and pitch your services or products with confidence. How to manage your business operations through both lean and plentiful times.	Personal Branding, Marketing, Entrepreneurship, Strategy and Operations, Leadership And Management	Plan a Successful Freelancing Business , Making Money as a Freelancer, Launching Your Freelancing Business, Protect and Grow Your Freelancing Business , Building Your Freelancing Career Capstone	Tatiana Mulry	California Institute of the Arts	Business	https://www.coursera.org/specializations/freelancing	40.0	Business,Freelancing	55.0
Create a business mind map with Coggle	4.7	Beginner level	Hands-on learning	Create a business plan with product and services market fit, company structure and executive overview. Create a mind map with branches and keywords, signifiers and information hierarchy. Comment, share and manage revision history.	Business Planning, Mind Map, Coggle	Learn step-by-step	Angelo Paolillo	Coursera Project Network	Business	https://www.coursera.org/projects/create-a-business-mind-map-with-coggle	2.0	Business,Soft Skills	26.0
Transforming the Fashion Business Specialization	4.7	Intermediate level	Flexible schedule	How to develop a fashion business model that incorporates sustainability, experiential methods, collaborations, and serves underrepresented groups.	Sustainability, Holistic Product Lifecyle, Fashion Design, Retail Management, Fashion Systems	Fashion Systems, Fashion Design, Fashion Retail Transformation	Keanan Duffty	Parsons School of Design, The New School	Business	https://www.coursera.org/specializations/transforming-fashion-business	40.0	Sustainability,Business,Art & Humanities	390.0
Branding: The Creative Journey Specialization	4.6	Beginner level	Flexible schedule	Create a value proposition for a brand: How it can be positioned and mapped. Learn how to produce meaningful and engaging content. Develop a complete creative pitch. Examine Branding activities through the lens of Customer Experience.	Communication, Creativity, Journalism, CX, Branding	Brand Identity and Strategy,  Storytelling in Branding and Content Marketing , From Brand to Image: Creating High Impact Campaigns That Tell Brand Stories, Branding and Customer Experience	Michael Thompson, MARÍA EIZAGUIRRE DIÉGUEZ, Pedro Cifuentes Huertas, Brian Hallett	IE Business School	Business	https://www.coursera.org/specializations/branding-the-creative-journey	40.0	Branding	995.0
Business Model Innovation	4.8	Not specified	Flexible schedule	Define what a business model is and why it enables you to approach innovation and strategy from a completely different angle. Understand the 3 components of the business model and how they are linked. Stimulate your creativity by capitalizing on the 14 directions toolbox. Analyze existing business models, create new ones or adapt existing ones using the Odyssey 3.14 approach.	Strategic Management, Business Model, Business Modeling, Business Strategy	"MODULE 1: INTRODUCTION TO BUSINESS MODEL INNOVATION, MODULE 2: THE 3 COMPONENTS OF A BUSINESS MODEL,  MODULE 3: 7 DIRECTIONS FOR THE VALUE PROPOSITION , MODULE 4: 7 DIRECTIONS FOR THE VALUE ARCHITECTURE, ""MODULE 5: ITS YOUR TURN TO APPLY THE ODYSSEY 3.14 APPROACH!"""	Hélène Musikas, Laurence Lehmann-Ortega	HEC Paris	Business	https://www.coursera.org/learn/business-model	14.0	Business	544.0
Fundamentals of Business Finance, with Goldman Sachs 10,000 Women	4.7	Not specified	Flexible schedule	Define and discuss the basic building blocks of financial statements: assets, liabilities, equity, revenue and expenses. Interpret two key financial statements (Income Statement and Balance Sheet) to drive business decisions. Identify the key business ratios that can be calculated using your Income Statement and Balance Sheet.  	Financial Statement Use and Analysis, Financial Terminology, Balance Sheet, Income Statement Analysis, Financial Ratio Analysis	Fundamentals of Business Finance, with Goldman Sachs 10,000 Women	Mori Taheripour, Sarah Underwood, Geetha Krishnan, Michael Fetters, Edward David, Goldman Sachs 10,000 Women, Anne Donnellon	Goldman Sachs	Business	https://www.coursera.org/learn/10k-women-2	4.0	Accounting & Finance	912.0
Competitive Strategy	4.8	Intermediate level	Flexible schedule	Analysis of a company's opportunities, threats, strengths and weaknesses. Different types of competitive strategies and how to choose them. How do today's companies achieve long term success and profitability.	Strategic Management, Market Analysis, Strategic Thinking, Business Analysis, strategy	Module 1: What is Competitive Strategy?, Module 2: Competitive Advantage, Module 3: Choosing a Competitive Strategy, Summative Course Assessment 	M. Krishna Erramilli	Illinois Tech	Business	https://www.coursera.org/learn/illinois-tech-competitive-strategy	32.0	Operation & Strategy	20.0
E-Marketing Specialization	4.7	Beginner level	Flexible schedule	Recognize the current landscape of the digital business environment and identify strategies to define, attract, and engage your audience online. Develop a digital marketing plan designed to meet your goals and objectives for any existing or new business, product, or service. Apply testing and analytics to optimize your marketing efforts and improve business outcomes.	Mobile Marketing, Social Media, Marketing Optimization, Marketing Analytics, Search Engine Marketing (SEM)	Identifying, Attracting, and Growing Your Digital Audience, Strategies for Converting and Retaining Customers Online, Mobile Marketing, Optimization Tactics, and Analytics	Stephane Muller	University of California, Irvine	Business	https://www.coursera.org/specializations/emarketing	40.0	Marketing	232.0
Construction Management Specialization	4.8	Beginner level	Flexible schedule	Major construction management fundamentals, key project scheduling techniques, types of cost estimates and monitoring project cash flow	Schedule, Finance, Cost Control, Real Estate finance, Cost Estimate	Construction Project Management, Construction Scheduling, Construction Cost Estimating and Cost Control, Construction Finance, The Construction Industry: The Way Forward	Ibrahim Odeh, Ph.D., MBA	Columbia University	Business	https://www.coursera.org/specializations/construction-management	80.0	Accounting & Finance,Product/Project Management	7554.0
Create a Small Business Website with Weebly 	4.4	Beginner level	Hands-on learning	Create a free Weebly account Customize your website. Add and remove content.	Create a Weebly account, Customize your Weebly account, Add buttons, Add content, Publish and un-publish your website.	Learn step-by-step	Julia Arteno	Coursera Project Network	Business	https://www.coursera.org/projects/create-small-business-website-weebly	2.0	Business,Technology,Marketing	27.0
Tally Bookkeeper Professional Certificate	4.6	Beginner level	Flexible schedule	Explain and apply the fundamentals of accounting. Use TallyPrime as an integrated business management software. Manage accounts receivable and accounts payable. Explain and apply statutory and taxation concepts.	Banking, tally prime, Finance, Bookkeeping, business accounting	Fundamentals of Accounting and Reporting, Principles of Accounts Payable and Receivable Management , Basics of Statutory Compliance and Taxation	Tally Education and Distribution Services Private Limited 	Tally Education	Business	https://www.coursera.org/professional-certificates/tally-bookkeeper	160.0	Accounting & Finance,Technology	98.0
Storytelling and influencing: Communicate with impact	4.8	Not specified	Flexible schedule	Critically evaluate a range of theories to decode the components of persuasive communications. Apply a range of different strategies to a variety of contexts to build rapport, overcome resistance, and find acceptance. Develop skills to interpret the motivation of the audience and influence the way they think and feel to support your ideas.	Not specified	The necessary art of persuasion: Understanding what matters to your audience, Telling your story: Developing a dramatic narrative, Connecting with people: Developing authenticity and building rapport, Talk the talk: Creating impressions and guiding influential conversations, Painful truth: Dealing with objections and overcoming resistance, Winning over hearts and minds: How to pitch a brilliant idea	Arabella MacPherson, Associate Professor Lawrence Ang	Macquarie University	Business	https://www.coursera.org/learn/communicate-with-impact	18.0	Communication,Soft Skills,Business	1895.0
Business Opportunities and Risks in a Globalized Economy	4.8	Intermediate level	Flexible schedule	"Master forex valuation, macroeconomic impact, and government influence on currency values. Comprehend trade theories, identify trade ""losers,"" and analyze effects on economies. Explore global accounts, deficits, surpluses, migration's macro role, and challenges in globalization."	Not specified	"The USA: GDP, Inflation and Unemployment; Growth and Gaps: Reviewing the Basic Relationships. , Japan: Current Accounts and Currencies: International Economics Relationships, The European Integration Experiment: The Benefits of Trade and Migration, ""India and China: Economic Development, How it Occurs, and the Worlds Upcoming Giants"", Capstone"	Gayle Allard	IE Business School	Business	https://www.coursera.org/learn/business-opportunities-and-risks-in-a-globalized-economy	11.0	Ecommerce,International Relations,Business	157.0
Automation for Business	0.0	Beginner level	Flexible schedule	Recall fundamental automation concepts and terminologies.Comprehend the benefits, challenges, and tools of business automation.Analyze automation opportunities and strategies for implementation.Evaluate the impact of automation on business operations and the future of work.	ROI Measurement and Optimization, Automation Strategy Development, Workflow Configuration and Integration, Ethical Considerations in Automation	Automation for Business	Igor Arkhipov	Starweaver	Business	https://www.coursera.org/learn/automation-for-business	4.0	Technology,Business,Automation	0.0
Bookkeeping Basics	4.6	Beginner level	Flexible schedule	Define accounting and the concepts of accounting measurement. Explain the role of a bookkeeper and common bookkeeping tasks and responsibilities. Summarize the double entry accounting method. Explain the ethical and social responsibilities of bookkeepers in ensuring the integrity of financial information.	Double-Entry Bookkeeping System, Basis Of Accounting, Creating Financial Statements, accounting software, Accounting Cycle	Accounting Concepts and Measurement, The Accounting Cycle (Part 1), The Accounting Cycle (Part 2), Accounting Principles and Practices	Intuit Academy Team	Intuit	Business	https://www.coursera.org/learn/bookkeeping-basics	16.0	Accounting & Finance,Business,Ethics & Law	4251.0
Business Growth Strategy	4.7	Not specified	Flexible schedule	How to identify and evaluate opportunities to scale an organization. How to enter new markets and apply game theory to analyze, assess, and respond to competitors. How to assess the impact of a potential merger and acquisition and avoid common pitfalls of this type of growth. How to unlock the keys to innovation, from building an innovative capability to adding value from innovation to determining an innovation strategy.	Strategic Thinking, growth strategy, innovation strategy, Mergers And Acquisitions (M&A), Business Strategy	Growth through Scaling, Growth through Entry, Growth through Acquisition, Growth through Innovation	Jared Harris, Michael Lenox	University of Virginia	Business	https://www.coursera.org/learn/uva-darden-business-growth-strategy	10.0	Management & Leadership,Business,Operation & Strategy	645.0
 Fundamentals of Business Problem Solving	0.0	Intermediate level	Flexible schedule	Develop an understanding of the business process, including how to identify opportunities and risks.Utilize Microsoft Excel to create and manipulate spreadsheets. Interpret and analyze spreadsheet modeling outputs. 	Spreadsheet, Microsoft Excel, Business Analysis, Business Process, Business Strategy	Introduction to Business Problem Solving, Creating a Basic Business Model, Building Different Model Types, Model Optimization	Alton Henley	Howard University	Business	https://www.coursera.org/learn/fundamentals-of-business-problem-solving	16.0	Business,Microsoft Tools,Operation & Strategy	0.0
Search Engine Optimization (SEO) Specialization	4.7	Beginner level	Flexible schedule	Complete a competitive analysis on a webpage  Develop a solid approach for achieving a productive and successful relationship with your client  Create influencer relationships and collaborations and analyze data to see which content gets the most sharesCreate a final report of your findings and recommendations for SEO and present your recommendations to your client  	Search Algorithm, Search Engine Optimization (SEO), Mathematical Optimization, Semantics, Social Media Marketing, Social Media, Content Marketing, Keyword Research, Marketing	Introduction to Google SEO, Google SEO Fundamentals, Optimizing a Website for Google Search, Advanced Content and Social Tactics to Optimize SEO, Google SEO Capstone Project	Rebekah May, Eric Enge	University of California, Davis	Business	https://www.coursera.org/specializations/seo	120.0	Marketing,Social Media,Data Analytics	10847.0
Introduction to Business Analytics	4.7	Beginner level	Flexible schedule	Demonstrate a foundational knowledge of the business analyst role.Explain the foundational project management topics and skills used by a BI analyst.Describe data literacy and its importance for a BI analyst.	Data Analytics Lifecycle, Foundational Project Management, Data Literacy	Introduction to Business Analytics, Data Analytics Lifecycle, Project Management for Analysts, Data Literacy	Tableau Learning Partner Instructor 	Tableau Learning Partner	Business	https://www.coursera.org/learn/introduction-to-business-analytics	14.0	Data Analytics,Business,Technology	114.0
Leading Diverse Teams & Organizations	4.8	Beginner level	Flexible schedule	Understand when and why diversity benefits teams and organizations.Design equitable organizational processes.Develop behavioral skills to promote inclusive team environment.	Equity, Leadership, diversity, inclusion	Week 1 Diversity and Our Mindset, Week 2 Personal Diversity Challenges, Week 3 Organizational Equity, Week 4 Team Inclusion	Lindred Greer	University of Michigan	Business	https://www.coursera.org/learn/leading-diverse-teams-and-organizations	22.0	Management & Leadership,Human Resources,Soft Skills	357.0
Introduction to Data Analytics for Business	4.7	Beginner level	Flexible schedule	Describe the information lifecycle from events in the real world to business actions Recognize the types of events and characteristics that are often used in business analyticsExplain how the data is captured by source systems and stored using both traditional and emergent technologiesGain familiarity with relational databases and learn how to use a simple but powerful language called SQL to extract analytical data sets of interest	Data Model, Data Quality, Data Analysis, SQL	Data and Analysis in the Real World, Analytical Tools, Data Extraction Using SQL, Real World Analytical Organizations	David Torgerson	University of Colorado Boulder	Business	https://www.coursera.org/learn/data-analytics-business	11.0	Data Analytics,Business,Technology	3105.0
Leading a Family Business Specialization	0.0	Advanced level	Flexible schedule	Develop strategies for entrepreneurship and transgenerational innovationSkills for leading and orchestrating synergies of the entrepreneurial business family members	Identify basic concepts of innovative entrepreneurship to innovate and create value in the company, Determine strategies and tools that entrepreneurs and startups use to develop and undertake innovations, Explain how entrepreneurs can go from an idea to a product and scale it, Analyze innovation initiatives within the organization	Entrepreneurial Mindset, Leadership in the Family Business, Fundamentals of entrepreneurship in the family business	David S. Xotlanihua-González,  Luis Antonio Marquez Heine, Dr. Fernando  Sandoval Arzaga, Fernando Andrés Moya Dávila	Tecnológico de Monterrey	Business	https://www.coursera.org/specializations/leading-family-business	80.0	Business,Management & Leadership	0.0
Innovating with the Business Model Canvas	4.6	Beginner level	Flexible schedule	How to create an explicit view of a company or product strategy in 20 minutes (with a little practice!)How to apply innovation tools from the worlds of design thinking and Lean Startup to your business model designHow to use the Canvas to organize ideas and have better discussions by driving to specifics and linkages between key business drivers    How to apply a test-driven approach to business model innovation  	Business Model, Product Management, Product/Market Fit, business focus, corporate innovation	Focusing for Profitability and Growth, How do you focus your capabilities and organization to maximize profitability?	Alex Cowan	University of Virginia	Business	https://www.coursera.org/learn/uva-darden-innovation-business-model-canvas	3.0	Business,Product/Project Management,Design	259.0
Foundations of Business Intelligence	4.7	Advanced level	Flexible schedule	Understand common careers and industries that use BIInvestigate the impact data can have on business decision-makingExplain the important role that BI professionals have in businessesDevelop a BI project plan 	Business Processes and Requirements, Sharing Insights With Stakeholders, Stakeholder Management, Cross-Functional Team Dynamics, Asking Effective Questions	Data-driven results through business intelligence, Business intelligence tools and techniques, Context is crucial for purposeful insights, Course 1 end-of-course project	Google Career Certificates	Google	Business	https://www.coursera.org/learn/foundations-of-business-intelligence	31.0	Business,Data Analytics,Technology	828.0
Business Intelligence and Competitive Analysis	4.4	Beginner level	Flexible schedule	Industry analysis: the market potential, risk and competition intensity, value chain analysis. Competition positioning: where does the company stand in the competitive landscape? Abnormalities and alarms. Enterprise diagnosis: competitive strengths and weaknesses, performance drivers and levers, the key problems and causes.	Business Intelligence, Data Analysis, Benchmarking, Competitive Analysis, Management Consulting	Welcome!, Industry Analysis, Competition Positioning, Enterprise Diagnosis	Yao Zhao	Rutgers the State University of New Jersey	Business	https://www.coursera.org/learn/businessintelligence	10.0	Business,Data Analytics,Management & Leadership	210.0
Meta Marketing Analytics Professional Certificate	4.7	Beginner level	Flexible schedule	Collect, sort, evaluate, and visualize marketing dataSummarize and analyze data using marketing analytics methodsDesign experiments and test hypotheses to evaluate advertising effectivenessUse Meta Ads Manager to run tests, learn what works, and optimize ad performance 	Statistics for Marketing, Performance marketing, Data Analysis, Advertising Effectiveness Evaluation, Marketing Mix Optimization	Marketing Analytics Foundation, Introduction to Data Analytics, Data Analysis with Spreadsheets and SQL, Python Data Analytics, Statistics for Marketing, Data Analytics Methods for Marketing, Marketing Analytics with Meta, Meta Marketing Science Certification Exam	Brandon Larkin, Anke Audenaert, Cameron Dodd, Victor Geislinger	Meta	Business	https://www.coursera.org/professional-certificates/facebook-marketing-analytics	280.0	Marketing,Data Analytics,Advertisement	2018.0
 Market your new business with Canva	4.7	Intermediate level	Hands-on learning	Design a company logo with CanvaCreate and design a business card using a Canva templateCreate a business flyer with Canva	Advertising, Business, Marketing, Graphic Design	Learn step-by-step	Michelle Flores	Coursera Project Network	Business	https://www.coursera.org/projects/market-new-business-canva	2.0	Marketing,Design,Business	24.0
Regulatory Compliance Specialization	4.8	Intermediate level	Flexible schedule	Create a thorough risk profile for your organization.Tailor a comprehensive compliance program with features best suited to address your organization’s specific risk profile.Develop strategies for implementing the technologies, policies, monitoring, and training for building an effective privacy compliance program.Describe the factors that drive the need for anti-corruption laws and understand the ramifications of doing business in a highly-regulated world.	Risk Management, Compliance, Human Resources Management, Business Strategy	What is Compliance?, Effective Compliance Programs, Privacy Law and Data Protection, What is Corruption: Anti-Corruption and Compliance	Andrew Kandel, Lauren Steinfeld	University of Pennsylvania	Business	https://www.coursera.org/specializations/regulatory-compliance	40.0	Operation & Strategy,Ethics & Law,Human Resources	1999.0
Introduction to Business Analytics and Information Economics Specialization	4.7	Beginner level	Flexible schedule	Conceive new ways to leverage analytics to business problems. Know what makes an analytics project successful. Be aware of key analytics trends.Understand and apply methods for conceiving and generating broad-based and transformative business benefits from available information assets.Lay out new and emerging organizational roles for treating information as an actual business asset.Understand business models from a data perspective and apply a variety of techniques for identifying new data-driven value streams for a business.	Monetization, Infonomics, Business Analytics, Asset Management, Enterprise Information Management	Business Analytics Executive Overview, Infonomics I: Business Information Economics and Data Monetization, Infonomics II: Business Information Management and Measurement	Douglas B. Laney	University of Illinois at Urbana-Champaign	Business	https://www.coursera.org/specializations/analytics-information	40.0	Business,Data Analytics,Economics	46.0
